	https://tinyurl.com/microbesigslides	Link to share PDF files as (PMID.pdf):	https://www.dropbox.com/request/BNpgquRv3F0jjvlSar6x	https://tinyurl.com/microbesigs																																																																																																																																				
Dropbox	PubMed	PMID	source within paper	Free-form description	significance threshold	threshold corrected for MHT? yes/no	control (unexposed) sample size	case (exposed) sample size	study design	confounders controlled for	antibiotics exclusion	Country	host species	body_site	body_subsite	condition	sequencing type	16S variable region	sequencing platform	date of curation	curator	contrast (list control group last)	UP or DOWN	statistical test	Pielou	Shannon index	Chao1	Simpson	Inverse Simpson	richness (Specie's Diversity)	taxon 1	taxon 2	taxon 3	taxon 4	taxon 5	taxon 6	taxon 7	taxon 8	taxon 9	taxon 10	taxon 11	taxon 12	taxon 13	taxon 14	taxon 15	taxon 16	taxon 17	taxon 18	taxon 19	taxon 20	taxon 21	taxon 22	taxon 23	taxon 24	taxon 25	taxon 26	taxon 27	taxon 28	taxon 29	taxon 30	taxon 31	taxon 32	taxon 33	taxon 34	taxon 35	taxon 36	taxon 37	taxon 38	taxon 39	taxon 40	taxon 41	taxon 42	taxon 43	taxon 44	taxon 45	taxon 46	taxon 47	taxon 48	taxon 49	taxon 50	taxon 51	taxon 52	taxon 53	taxon 54	taxon 55	taxon 56	taxon 57	taxon 58	taxon 59	taxon 60	taxon 61	taxon 62	taxon 63	taxon 64	taxon 65	taxon 66	taxon 67	taxon 68	taxon 69	taxon 70	taxon 71	taxon 72	taxon 73	taxon 74	taxon 75	taxon 76	taxon 77	taxon 78	taxon 79	taxon 80	taxon 81	taxon 82	taxon 83	taxon 84	taxon 85	taxon 86	taxon 87	taxon 88	taxon 89	taxon 90	taxon 91	taxon 92	taxon 93	taxon 94	taxon 95	taxon 96	taxon 97	taxon 98	taxon 99	taxon 100	taxon 101	taxon 102	taxon 103	taxon 104	taxon 105	taxon 106
		integer PMID	e.g. Supplemental Table 1	A written description of the signature, can copy and paste from table caption or the paper, to help someone interpret the signature if they find a similar one later.			enter an integer value	enter an integer value	case-control	semicolon-separated list e.g. age;sex or none	unstated / # months				if known	edit possible values under "conditions" - currently only diseases, but could be geography, sociodemographics, other study conditions	WMS = whole metagenome shotgun. Can add as needed.			standarized format mm/dd/yyyy	who entered the data?	a description of the contrast performed: helps the reader interpret the signature, says whether these taxa are up or down, and in what condition. Separate up and down taxa into separate signatures.	UP or DOWN refers to the direction of change in cases or treatment group relative to controls. E.g. UP means higher abundance in adenoma compared to controls								Use as many columns as needed to enter the taxa in this signature. Note that allowable values include species, genus, family, etc. Order does not matter. Start with "g__" for genus, "s__" for species, etc, to get auto-complete assistance. Also can go to "metaphlantaxa.txt" tab to copy/paste from																																																																																																									
Dropbox	PubMed	28038683	Table 2 + Supplemental Table S5	Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level	q < 0.1	yes	323	217	case-control	Models adjusted for sex, age, categorical BMI and study. Exclusin in the NYU study included missing colonoscopy reports, personal history of CRC or polyps,, inflammatory bowel disease , previous anastomosis , personal history of familial adenomatous polyposis, those with their most recent colonoscopy reports >3 years prior to stool sample collection, and subjects with both conventional and serrated polyp types or unclassified polyps ; Colorectal polyps were identified at colonoscopy and confirmed by pathology. For the CDC study Eligible participants must not have had more than one episode of rectal bleeding in the last 6 months, a positive FOBT in the past 12 months, a colonoscopy in the past 5 years, a personal history of CRC, polyps,or inflammatory bowel disease, or a personal or fam ily history of familial adenomatous polyposis or hereditary nonpolyposis colorectal cancer.	excluded in NYU study particpants/long term	United States of America	human	stool	stool	adenoma	WMS	V4	Illumina	09/05/2018	Levi Waldron	conventional adenoma cases vs. controls UP 	UP	DESeq2	NA	YES	NA	NA	NA	YES	k__Bacteria|p__Firmicutes|c__Bacilli	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	k__Bacteria|p__Firmicutes|c__Tissierellia|o__Tissierellales|f__Peptoniphilaceae|g__Peptoniphilus|s__Peptoniphilus_harei	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	k__Bacteria|p__Firmicutes|c__Bacilli	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales																																																																																							
Dropbox	PubMed	28038683	Table 2 + Supplemental Table S5	Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level	q < 0.1	yes			case-control	Models adjusted for sex, age, categorical BMI and study. Colorectal polyps were identified at colonoscopy and confirmed by pathology.	excluded in NYU study particpants/long term	United States of America	human	stool	stool	adenoma	16S	V4	Illumina	09/05/2018	Levi Waldron	conventional adenoma cases vs. controls DOWN	DOWN	DESeq2	NA	YES	NA	NA	NA	YES	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	k__Bacteria|p__Cyanobacteria	k__Archaea|p__Crenarchaeota|c__Crenarchaeota_noname|o__Crenarchaeota_noname|f__Crenarchaeota_noname|g__Crenarchaeota_noname|s__Crenarchaeota_archaeon_SCGC_AAA471_B05																																																																																																							
Dropbox	PubMed	28038683	Table 2 + Supplemental Table S5	Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level	q < 0.1	yes			case-control	Models adjusted for sex, age, categorical BMI and study. Colorectal polyps were identified at colonoscopy and confirmed by pathology 	excluded in NYU study particpants/long term	United States of America	human	stool	stool	hyperplastic polyp	16S	V4	Illumina	09/05/2018	Levi Waldron	hyperplastic polyp cases vs. controls UP 	UP	DESeq2	NA	YES	NA	NA	NA	YES	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes																																																																																																									
Dropbox	PubMed	28038683	Table 2 + Supplemental Table S5	Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level	q < 0.1	yes			case-control	Models adjusted for sex, age, categorical BMI and study. Colorectal polyps were identified at colonoscopy and confirmed by pathology 	excluded in NYU study particpants/long term	United States of America	human	stool	stool	hyperplastic polyp	16S	V4	Illumina	09/05/2018	Levi Waldron	hyperplastic polyp cases vs. controls DOWN	DOWN	DESeq2	NA	YES	NA	NA	NA	YES	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales																																																																																																						
Dropbox	PubMed	28038683	Table 2 + Supplemental Table S5	Differential abundance was detected by the “DESeq” function in the DESeq2 package. All classes and genera with an FDR-adjusted q < 0.10 are included in the table. Models were adjusted for sex, age, study, and categorical BMI. See Additional file 1: Table S5 for comparisons at the phylum, order, and family level	q < 0.1	yes			case-control	Models adjusted for sex, age, categorical BMI and study. Colorectal polyps were identified at colonoscopy and confirmed by pathology 	excluded in NYU study particpants/long term	United States of America	human	stool	stool	sessile serrated adenoma	16S	V4	Illumina	09/05/2018	Levi Waldron	SSA cases vs. controls DOWN 	DOWN	DESeq2	NA	NO	NA	NA	NA	NO	k__Bacteria|p__Firmicutes|c__Erysipelotrichia																																																																																																									
Dropbox	PubMed	28038683	Supplemental Table S6	Differentially abundant taxa (phylum‐OTU level) between controls and proximal or distal conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.	q < 0.1	yes	323	217	case-control	Models adjusted for sex, age, categorical BMI and study. Exclusin in the NYU study included missing colonoscopy reports, personal history of CRC or polyps,, inflammatory bowel disease , previous anastomosis , personal history of familial adenomatous polyposis, those with their most recent colonoscopy reports >3 years prior to stool sample collection, and subjects with both conventional and serrated polyp types or unclassified polyps ; Colorectal polyps were identified at colonoscopy and confirmed by pathology. For the CDC study Eligible participants must not have had more than one episode of rectal bleeding in the last 6 months, a positive FOBT in the past 12 months, a colonoscopy in the past 5 years, a personal history of CRC, polyps,or inflammatory bowel disease, or a personal or fam ily history of familial adenomatous polyposis or hereditary nonpolyposis colorectal cancer.	excluded in NYU study particpants/long term	United States of America	human	stool	stool	adenoma	16S	V4	Illumina	09/05/2018	Marianthi Thomatos	Proximal conventional adenoma cases vs. controls UP	UP	DESeq2	NA	YES	NA	NA	NA	YES	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae	k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Corynebacteriaceae|g__Corynebacterium	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas	k__Bacteria|p__Firmicutes|c__Bacilli	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__tissierellaceae	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Anaerococcus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Peptoniphilus	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Phascolarctobacterium	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Sutterella	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	k__Bacteria|p__Tenericutes|c__Mollicutes																																																																																	
Dropbox	PubMed	28038683	Supplemental Table S6	Differentially abundant taxa (phylum‐OTU level) between controls and proximal or distal conventional adenoma cases, as detected by the DESeq function in the DESeq2 package. Models were adjusted for age, sex, categorical BMI, and study. All taxa with an FDR‐adjusted q<0.10 are included in the table.	q < 0.1	yes			case-control	Models adjusted for sex, age, categorical BMI and study. Colorectal polyps were identified at colonoscopy and confirmed by pathology 	excluded in NYU study particpants/long term	United States of America	human	stool	stool	adenoma	16S	V4	Illumina	09/05/2018	Marianthi Thomatos	Proximal conventional adenoma cases vs. controls DOWN	DOWN	DESeq2	NA	YES	NA	NA	NA	YES	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus	k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus																																																																																																								
